nm,nd,time_blocking,time_nonblocking
2,5000,0.07909804444444443,0.04289421111111111
2,10000,0.07528394444444444,0.04389383333333333
2,20000,0.09576441111111111,0.04680971111111111
5,5000,0.10816900000000002,0.10307833333333333
5,10000,0.10824455555555555,0.10429144444444445
5,20000,0.108871,0.10722366666666666
10,5000,0.20874644444444443,0.20315211111111112
10,10000,0.20794544444444446,0.203913
10,20000,0.21088466666666666,0.20654922222222222
20,5000,0.40918822222222223,0.4029343333333333
20,10000,0.40946200000000005,0.4045465555555556
20,20000,0.410042,0.40660999999999997
